Id,Year,Post,SDG_0,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16
BGD_67_2012,2012,Prime Minister,0.0007851734990254045,0.0006725455750711262,0.0005890786997042596,0.0003511405666358769,0.0007913237204775214,0.0011432794854044914,0.00042627041693776846,0.0004011953133158386,0.00030191041878424585,0.0004089570138603449,0.0007461000932380557,0.0006358252721838653,0.0007284313323907554,0.0003216238983441144,0.0005418448126874864,0.0006260240916162729,0.9905292391777039
BRN_67_2012,2012,Head of State,0.002432012464851141,0.01764187030494213,0.013622683472931385,0.00807881634682417,0.02518710494041443,0.038949642330408096,0.004530450329184532,0.006734073627740145,0.005505735985934734,0.0037503184285014868,0.02848297730088234,0.006180718541145325,0.009125053882598877,0.009574385359883308,0.006884606555104256,0.007764044217765331,0.805555522441864
MYS_67_2012,2012,Minister for Foreign Affairs,0.0009036237606778741,0.0010078494669869542,0.0007556456257589161,0.0004902283544652164,0.0012897789711132646,0.0021306443959474564,0.0005056317313574255,0.0006354608340188861,0.00037245667772367597,0.0005806320114061236,0.0009826855966821313,0.0008134212112054229,0.0009143935749307275,0.0003853829111903906,0.0006578204920515418,0.0008195203263312578,0.986754834651947
SLB_67_2012,2012,Prime Minister,0.0009015155956149101,0.0009098032023757696,0.0007891834247857332,0.0004286327457521111,0.0011145382886752486,0.001519600278697908,0.0005026329890824854,0.0005589582724496722,0.0003965450741816312,0.0006207582773640752,0.0009322005789726973,0.0008553610532544553,0.0008013593615032732,0.0004304872709326446,0.0007239492842927575,0.0008518674876540899,0.987662672996521
TJK_67_2012,2012,Minister for Foreign Affairs,0.0009379505645483732,0.0009565083892084658,0.0006928002112545073,0.00043224860564805567,0.001080708228982985,0.0015625348314642906,0.0004920870997011662,0.0005268158856779337,0.000374522089259699,0.0006541306502185762,0.0009248790447600186,0.000824266579002142,0.0008902150439098477,0.0003926339268218726,0.0006896600243635476,0.0007856858428567648,0.9877822995185852
ATG_67_2012,2012,Prime Minister,0.0007696003885939717,0.0008242523763328791,0.000690201239194721,0.00037517823511734605,0.0007331898668780923,0.0012857787078246474,0.00036251856363378465,0.0004260411951690912,0.00032688508508726954,0.0004877338942606002,0.0008279401808977127,0.0006724936538375914,0.0008379917126148939,0.0004434191796462983,0.0005882240366190672,0.0008050542091950774,0.9895435571670532
MEX_67_2012,2012,President,0.0013680182164534926,0.0017426852136850357,0.0013512733858078718,0.000641928578261286,0.0012076663551852107,0.0030254649464040995,0.0007057162001729012,0.00077970972051844,0.0009020649595186114,0.0008386783301830292,0.0016577572096139193,0.0013742869487032294,0.0012340523535385728,0.0006266176933422685,0.0008195406408049166,0.0009777079103514552,0.9807468056678772
AUT_67_2012,2012,Minister for Foreign Affairs,0.0006966075743548572,0.0006421355647034943,0.0004523756797425449,0.00032829277915880084,0.0006581663037650287,0.0010350490920245647,0.0003134199359919876,0.00032443186501041055,0.00027976042474620044,0.00043965171789750457,0.0007111101876944304,0.000579484214540571,0.0006355499499477446,0.00027604636852629483,0.00042382688843645155,0.000647626060526818,0.9915565252304077
CYP_67_2012,2012,President,0.0021289789583534002,0.005664603319019079,0.003244832158088684,0.002145141828805208,0.006755400914698839,0.00999548751860857,0.0022360265720635653,0.0027260337956249714,0.001227081986144185,0.0021633203141391277,0.0041333469562232494,0.0024008597247302532,0.003171346615999937,0.0015080570010468364,0.0026950121391564608,0.00268904329277575,0.9451153874397278
COG_67_2012,2012,Minister for Foreign Affairs,0.0012857484398409724,0.0017949690809473395,0.0014251667307689786,0.0005998373380862176,0.0013301970902830362,0.002801287453621626,0.0007585428538732231,0.0007516986806876957,0.000530750083271414,0.0007941920775920153,0.0016354669351130724,0.0011135867098346353,0.0010427661472931504,0.0005592277157120407,0.0008054979844018817,0.000974713999312371,0.9817964434623718
