Id,Year,Post,SDG_0,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16
BIH_75_2020,2020,Cairman of the Presidency,0.010617708787322044,0.07073269784450531,0.013061026111245155,0.3101167678833008,0.016250936314463615,0.12630556523799896,0.008939741179347038,0.008967062458395958,0.009976419620215893,0.0029856835026293993,0.016130568459630013,0.019129974767565727,0.019293775781989098,0.014381722547113895,0.01004741434007883,0.030955808237195015,0.3121071755886078
KWT_75_2020,2020,Prime Minister,0.007779320236295462,0.31040695309638977,0.008011632598936558,0.13515211641788483,0.011214195750653744,0.096711665391922,0.008412044495344162,0.008141591213643551,0.012782542034983635,0.0026226902846246958,0.02875666879117489,0.019018573686480522,0.022184740751981735,0.015050455927848816,0.009242132306098938,0.01961374282836914,0.284898966550827
NAM_75_2020,2020,President,0.0014721639454364777,0.0026501112151890993,0.0018281652592122555,0.0015375788789242506,0.0011513330973684788,0.004535967949777842,0.0014567315811291337,0.001308457925915718,0.0012163465144112706,0.0012176975142210722,0.0015643300721421838,0.0012505942722782493,0.0019134603207930923,0.0014306609518826008,0.001473070471547544,0.0026239254511892796,0.9713693857192993
IRN_75_2020,2020,President,0.0010001526679843664,0.0007672010106034577,0.0006607022951357067,0.000695511233061552,0.0005509090260602534,0.0007707886979915202,0.0006900937878526747,0.0005107018514536321,0.00043636385817080736,0.00045534162200056016,0.00044998395605944097,0.0005597065319307148,0.0009730926831252873,0.0006163836806081235,0.0006754688802175224,0.0007961640367284417,0.9893914461135864
ROU_75_2020,2020,Minister for Foreign Affairs,0.0012094166595488787,0.0010671187192201614,0.0008672536350786686,0.0008449919405393302,0.0006794063956476748,0.001328765181824565,0.0008358060731552541,0.0006401948630809784,0.0005501444102264941,0.0006153439171612263,0.0006605719681829214,0.0007092460291460156,0.0010656765662133694,0.0007554980693385005,0.0007971120066940784,0.0012007203185930848,0.9861727356910706
STP_75_2020,2020,President,0.0014082940760999918,0.0039825099520385265,0.0014628219651058316,0.002040751278400421,0.0008035318460315466,0.0024894012603908777,0.001140425680205226,0.0010165289277210832,0.0008795469766482711,0.0005992411752231419,0.0015759103698655963,0.0012765367282554507,0.0018984958296641707,0.0012234322493895888,0.0013797283172607422,0.0018201882485300303,0.975002646446228
MWI_75_2020,2020,President and Minister for Defense,0.004157004877924919,0.01589963398873806,0.004850800149142742,0.005830579902976751,0.003192288801074028,0.03532860800623894,0.0026366100646555424,0.0033811216708272696,0.005374951753765345,0.003090309677645564,0.007661066018044949,0.00347519270144403,0.0054868487641215324,0.002973611233755946,0.003789841430261731,0.006533805280923843,0.8863377571105957
BEN_75_2020,2020,Minister for Foreign Affairs and Cooperation,0.007372725754976273,0.08165685087442398,0.012518737465143204,0.07496180385351181,0.008227085694670677,0.23371797800064087,0.007398759014904499,0.010052326135337353,0.03654304891824722,0.0036882725544273853,0.03223760426044464,0.01769840158522129,0.022624321281909943,0.010200613178312778,0.007977993227541447,0.028781887143850327,0.4043416678905487
LCA_75_2020,2020,"Prime Minister and Minister for Finance, Economic Growth, Job Creation, External Affairs and the Public Service",0.0015522139146924019,0.002900298684835434,0.002456782152876258,0.0017438674112781882,0.0016579533694311976,0.0031495406292378902,0.0015778165543451905,0.0012798182433471084,0.0013783745234832168,0.0014322223141789436,0.0016408778028562665,0.0014519491232931614,0.0032008017878979445,0.002593323355540633,0.0019511791178956628,0.0034087062813341618,0.96662437915802
GRD_75_2020,2020,Minister for Foreign Affairs and Labour,0.002823535818606615,0.006189500447362661,0.00441395491361618,0.004218005575239658,0.0035736109130084515,0.016467826440930367,0.004067474044859409,0.0028565272223204374,0.002854329766705632,0.0023991090711206198,0.0028279295656830072,0.003519594669342041,0.005856849253177643,0.007756134960800409,0.0039520710706710815,0.008133516646921635,0.9180900454521179
