Id,Year,Post,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16
SLV_73_2018,2018,President,0.556165874004364,0.00344842835329473,0.00097612792160362,0.0019197147339582443,0.001809100853279233,0.0018600285984575748,0.004343451000750065,0.006344124674797058,0.001783386105671525,0.05546911433339119,0.006926686968654394,0.0039002562407404184,0.3476858139038086,0.001690612523816526,0.001741647021844983,0.003935647662729025
TUV_73_2018,2018,Prime Minister and Minister for Public Utilities,0.00010350757656851783,6.230799772311002e-05,0.0001023117292788811,0.00011875274503836408,0.0003189319104421884,5.016032082494348e-05,0.00012759958917740732,3.573985304683447e-05,5.45474722457584e-05,0.00018530218221712857,6.633297016378492e-05,7.84364456194453e-05,0.0001683559821685776,0.0004057609767187387,0.0002051063347607851,0.9979168772697449
KAZ_73_2018,2018,Minister for Foreign Affairs,6.868832133477554e-05,4.3710861064027995e-05,6.0726066294591874e-05,0.00010407345689600334,0.00016614230116829276,4.254372470313683e-05,3.410116187296808e-05,2.8933578505530022e-05,4.069089482072741e-05,0.0002322207292309031,4.3428855860838667e-05,3.235771873733029e-05,4.298589556128718e-05,0.00012396140664350241,4.921983781969175e-05,0.9988861680030823
FIN_73_2018,2018,President,6.76030176691711e-05,4.6532004489563406e-05,7.083938544383273e-05,8.436012285528705e-05,0.0010736838448792696,4.282994268578477e-05,5.699323082808405e-05,3.2153613574337214e-05,4.300938599044457e-05,0.00014941036351956427,5.061701449449174e-05,3.1068619136931375e-05,8.096826786641032e-05,0.00015288367285393178,6.140367622720078e-05,0.9979556798934937
SAU_73_2018,2018,Minister for Foreign Affairs,0.00010262858268106356,6.159086478874087e-05,8.192500536097214e-05,0.0001915028115035966,0.00040360086131840944,5.8853365771938115e-05,9.982626943383366e-05,3.940214082831517e-05,7.544097752543166e-05,0.00030393089400604367,6.728249718435109e-05,4.5818880607839674e-05,9.936977585311979e-05,0.00017796432075556368,7.080072828102857e-05,0.9981200098991394
SYC_73_2018,2018,President,9.609190601622686e-05,4.035479651065543e-05,6.124719948275015e-05,9.809691255213693e-05,0.000481106253573671,4.3165091483388096e-05,5.472844350151718e-05,3.532414848450571e-05,4.172714761807583e-05,0.00028458033921197057,7.384187483694404e-05,3.8439964555436745e-05,3.9294842281378806e-05,0.00010576280328677967,5.426831921795383e-05,0.9984519481658936
LTU_73_2018,2018,President,0.0006073726108297706,9.515785495750606e-05,7.882305362727493e-05,0.00012694945326074958,0.0003265966079197824,8.67037961143069e-05,6.460132135543972e-05,7.837443990865722e-05,9.362817218061537e-05,0.0015347435837611556,8.544354932382703e-05,5.958246401860379e-05,9.989219688577577e-05,0.00020908561418764293,6.85320483171381e-05,0.9963846206665039
SVN_73_2018,2018,President,5.9828817029483616e-05,4.053833617945202e-05,5.3799765737494454e-05,7.089030259521678e-05,0.0002900197578128427,4.172273838776164e-05,4.172034823568538e-05,2.6009365683421493e-05,3.575039954739623e-05,0.00016717177641112357,4.800924943992868e-05,3.217307312297635e-05,3.364793519722298e-05,0.00010771693632705137,5.405160482041538e-05,0.9988969564437866
PSE_73_2018,2018,President,5.8067762438440695e-05,4.447953324415721e-05,8.050247561186552e-05,7.518153870478272e-05,0.0003079551679547876,5.294678339851089e-05,4.8802827222971246e-05,1.880594572867267e-05,2.4747734642005526e-05,0.00012819057155866176,4.531080776359886e-05,2.9617267500725575e-05,3.502540130284615e-05,0.00011336321767885238,6.682085950160399e-05,0.9988701939582825
PER_73_2018,2018,President,4.6412820665864274e-05,3.7798978155478835e-05,5.098914698464796e-05,7.025826926110312e-05,0.0002685232029762119,3.901796662830748e-05,3.7463963963091373e-05,2.4089449652819894e-05,3.158174513373524e-05,0.00014510365144815296,4.71994535473641e-05,2.644800224516075e-05,3.478172584436834e-05,0.00010140847007278353,5.116597094456665e-05,0.9989877343177795
