speech_id,country_abb,year,session,period,year_diff,sub_region,inter_region,continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIE_73_2018,LIE,2018,73,After,3,Western Europe,Western Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN_73_2018,VEN,2018,73,After,3,Latin America and the Caribbean,South America,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZB_73_2018,UZB,2018,73,After,3,Central Asia,Central Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN_73_2018,HUN,2018,73,After,3,Eastern Europe,Eastern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL_73_2018,ISL,2018,73,After,3,Northern Europe,Northern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC_73_2018,GRC,2018,73,After,3,Southern Europe,Southern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE_73_2018,AZE,2018,73,After,3,Western Asia,Western Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY_73_2018,GUY,2018,73,After,3,Latin America and the Caribbean,South America,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN_73_2018,JPN,2018,73,After,3,Eastern Asia,Eastern Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWA_73_2018,RWA,2018,73,After,3,Sub-Saharan Africa,Eastern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL_73_2018,BEL,2018,73,After,3,Western Europe,Western Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSM_73_2018,WSM,2018,73,After,3,Polynesia,Polynesia,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA_73_2018,GHA,2018,73,After,3,Sub-Saharan Africa,Western Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM_73_2018,ARM,2018,73,After,3,Western Asia,Western Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR_73_2018,BLR,2018,73,After,3,Eastern Europe,Eastern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMN_73_2018,OMN,2018,73,After,3,Western Asia,Western Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG_73_2018,MNG,2018,73,After,3,Eastern Asia,Eastern Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD_73_2018,SSD,2018,73,After,3,Sub-Saharan Africa,Eastern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI_73_2018,BDI,2018,73,After,3,Sub-Saharan Africa,Eastern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM_73_2018,VNM,2018,73,After,3,South-eastern Asia,South-eastern Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL_73_2018,IRL,2018,73,After,3,Northern Europe,Northern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUS_73_2018,MUS,2018,73,After,3,Sub-Saharan Africa,Eastern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NER_73_2018,NER,2018,73,After,3,Sub-Saharan Africa,Western Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI_73_2018,MLI,2018,73,After,3,Sub-Saharan Africa,Western Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK_73_2018,PAK,2018,73,After,3,Southern Asia,Southern Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA_73_2018,FRA,2018,73,After,3,Western Europe,Western Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM_73_2018,FSM,2018,73,After,3,Micronesia,Micronesia,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
